time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c
2025-09-22T21:18:38.810097,-8.28,-0.62,-5.67,0.05,0.03,-0.0,29.67
2025-09-22T21:18:38.905264,-8.26,-0.65,-5.66,0.05,0.03,0.0,29.67
2025-09-22T21:18:39.005161,-8.29,-0.63,-5.67,0.05,0.03,-0.0,29.67
2025-09-22T21:18:39.108154,-8.25,-0.62,-5.63,0.05,0.03,0.0,29.68
2025-09-22T21:18:39.232588,-8.26,-0.65,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:39.313239,-8.28,-0.63,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:39.416719,-8.29,-0.66,-5.66,0.05,0.03,-0.0,29.65
2025-09-22T21:18:39.617956,-8.29,-0.61,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:39.643373,-8.29,-0.62,-5.64,0.04,0.03,0.0,29.67
2025-09-22T21:18:39.744329,-8.26,-0.69,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:39.886362,-8.29,-0.61,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:39.976746,-8.26,-0.67,-5.65,0.04,0.03,0.0,29.68
2025-09-22T21:18:40.056060,-8.29,-0.65,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:40.142265,-8.27,-0.62,-5.65,0.04,0.03,0.0,29.68
2025-09-22T21:18:40.241144,-8.25,-0.63,-5.67,0.05,0.03,0.0,29.66
2025-09-22T21:18:40.344133,-8.28,-0.68,-5.64,0.04,0.03,-0.0,29.69
2025-09-22T21:18:40.447228,-8.27,-0.63,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:40.550169,-8.29,-0.62,-5.62,0.05,0.03,0.0,29.69
2025-09-22T21:18:40.654194,-8.23,-0.63,-5.66,0.04,0.04,0.0,29.66
2025-09-22T21:18:40.756147,-8.34,-0.52,-5.54,0.06,0.02,0.02,29.68
2025-09-22T21:18:40.859141,-8.26,-0.72,-5.68,0.02,0.05,0.02,29.67
2025-09-22T21:18:40.962134,-8.29,-0.58,-5.6,0.05,0.02,0.01,29.67
2025-09-22T21:18:41.065152,-8.28,-0.71,-5.66,0.05,0.02,0.0,29.67
2025-09-22T21:18:41.168780,-8.25,-0.63,-5.66,0.07,0.01,-0.02,29.68
2025-09-22T21:18:41.271099,-8.28,-0.63,-5.65,0.04,0.04,0.01,29.68
2025-09-22T21:18:41.374162,-8.26,-0.65,-5.65,0.05,0.03,0.01,29.69
2025-09-22T21:18:41.480233,-8.27,-0.63,-5.62,0.04,0.03,0.01,29.69
2025-09-22T21:18:41.583187,-8.26,-0.65,-5.64,0.05,0.03,0.01,29.68
2025-09-22T21:18:41.685421,-8.29,-0.64,-5.62,0.05,0.03,0.01,29.68
2025-09-22T21:18:41.787698,-8.29,-0.65,-5.64,0.04,0.03,0.01,29.67
2025-09-22T21:18:41.892593,-8.27,-0.65,-5.64,0.05,0.03,0.0,29.67
2025-09-22T21:18:41.994200,-8.26,-0.62,-5.64,0.04,0.04,0.01,29.68
2025-09-22T21:18:42.095644,-8.27,-0.67,-5.63,0.04,0.03,0.0,29.67
2025-09-22T21:18:42.199735,-8.26,-0.64,-5.65,0.05,0.03,0.0,29.68
2025-09-22T21:18:42.301164,-8.28,-0.63,-5.63,0.05,0.03,0.0,29.67
2025-09-22T21:18:42.403559,-8.26,-0.65,-5.63,0.05,0.03,-0.0,29.69
2025-09-22T21:18:42.507639,-8.29,-0.64,-5.64,0.05,0.03,0.0,29.7
2025-09-22T21:18:42.610248,-8.28,-0.63,-5.64,0.04,0.03,0.0,29.69
2025-09-22T21:18:42.721609,-8.27,-0.65,-5.63,0.04,0.03,0.0,29.68
2025-09-22T21:18:42.815271,-8.27,-0.62,-5.62,0.05,0.03,0.0,29.68
2025-09-22T21:18:42.919125,-8.29,-0.66,-5.62,0.05,0.03,0.0,29.68
2025-09-22T21:18:43.045379,-8.28,-0.65,-5.63,0.05,0.03,-0.0,29.68
2025-09-22T21:19:53.629408,-8.32,-0.44,-5.5,0.02,0.07,0.07,29.61
2025-09-22T21:19:53.731981,-8.14,-0.76,-5.85,0.07,0.03,-0.02,29.63
2025-09-22T21:19:53.833999,-8.3,-0.51,-5.75,0.04,0.04,-0.02,29.62
2025-09-22T21:19:53.935528,-8.25,-0.6,-5.74,0.05,0.04,0.01,29.62
2025-09-22T21:19:54.024044,-8.24,-0.55,-5.8,0.02,0.1,0.0,29.64
2025-09-22T21:19:54.135692,-8.28,-0.56,-5.68,0.05,0.03,-0.03,29.63
2025-09-22T21:19:54.244702,-8.33,-0.62,-5.83,0.07,-0.03,-0.01,29.65
2025-09-22T21:19:54.341186,-8.26,-0.56,-5.75,0.07,-0.0,-0.05,29.64
2025-09-22T21:19:54.445092,-8.23,-0.62,-5.68,0.05,0.02,-0.0,29.64
2025-09-22T21:19:54.557338,-8.25,-0.62,-5.69,0.06,0.0,-0.04,29.66
2025-09-22T21:19:54.656518,-8.27,-0.57,-5.71,0.05,0.02,-0.01,29.66
2025-09-22T21:19:54.744755,-8.27,-0.55,-5.67,0.04,0.02,0.04,29.66
2025-09-22T21:19:54.856166,-8.15,-0.73,-5.73,0.03,0.05,0.02,29.65
2025-09-22T21:19:54.966292,-8.22,-0.66,-5.71,0.08,-0.0,-0.06,29.65
2025-09-22T21:19:55.056377,-8.3,-0.54,-5.66,0.05,0.02,-0.0,29.66
2025-09-22T21:19:55.175177,-8.24,-0.58,-5.71,0.04,0.06,0.02,29.64
2025-09-22T21:19:55.280563,-8.19,-0.65,-5.76,0.03,0.05,0.07,29.65
2025-09-22T21:19:55.394735,-8.25,-0.56,-5.59,0.05,0.02,-0.02,29.66
2025-09-22T21:19:55.468730,-8.26,-0.57,-5.66,0.04,0.03,0.02,29.67
2025-09-22T21:19:55.603507,-8.28,-0.52,-5.72,0.06,0.02,0.03,29.66
2025-09-22T21:19:55.724244,-8.25,-0.57,-5.68,0.01,0.07,0.08,29.67
2025-09-22T21:19:55.790531,-8.21,-0.63,-5.75,0.08,-0.02,-0.06,29.65
2025-09-22T21:19:55.897711,-8.31,-0.51,-5.67,0.02,0.06,0.02,29.66
